slide_number,section,slide_type,secondary_text,primary_text,answer,answer_source,notes
1,PRE-SHOW,attract,,L,,,
2,WARM-UP,fishbowl,DROP IT IN THE BOWL. WE WILL USE IT AGAINST YOU.,WRITE YOUR RED FLAG.,,,
3,ROUND 1: GUESS THE SOURCE,round_title,GUESS THE SOURCE,ROUND 1,,,
4,ROUND 1: GUESS THE SOURCE,tier_title,Q1-Q4: 1 POINT | Q5 BONUS: 3 POINTS | Q6-Q9: 1 POINT | Q10 BONUS: 5 POINTS | Q11-Q14: 1 POINT | Q15 BONUS: 10 POINTS,WE SHOW THE LINE. YOU WRITE WHERE IT'S FROM.,,,
5,ROUND 1: GUESS THE SOURCE,source_q,,DID I STUTTER?,The Office,,
6,ROUND 1: GUESS THE SOURCE,source_q,,I AM IRON MAN,Avengers,,
7,ROUND 1: GUESS THE SOURCE,source_q,,"HASTA LA VISTA, BABY",Terminator 2,,
8,ROUND 1: GUESS THE SOURCE,source_q,,I KISSED A GIRL,Katy Perry,,
9,ROUND 1: GUESS THE SOURCE,bonus_marker,,BONUS: 3 POINTS,,,
10,ROUND 1: GUESS THE SOURCE,source_q,,SHUT UP AND TAKE MY MONEY,Futurama,,bonus 3pts
11,ROUND 1: GUESS THE SOURCE,source_q,,TO INFINITY AND BEYOND,Toy Story,,
12,ROUND 1: GUESS THE SOURCE,source_q,,I SEE DEAD PEOPLE,The Sixth Sense,,
13,ROUND 1: GUESS THE SOURCE,source_q,,I WILL ALWAYS LOVE YOU,Whitney Houston,,
14,ROUND 1: GUESS THE SOURCE,source_q,,WHO LET THE DOGS OUT,Baha Men,,
15,ROUND 1: GUESS THE SOURCE,bonus_marker,,BONUS: 5 POINTS,,,
16,ROUND 1: GUESS THE SOURCE,source_q,,PARTY ROCK IS IN THE HOUSE TONIGHT,LMFAO,,bonus 5pts
17,ROUND 1: GUESS THE SOURCE,source_q,,MAY THE FORCE BE WITH YOU,Star Wars,,
18,ROUND 1: GUESS THE SOURCE,source_q,,HIT ME BABY ONE MORE TIME,Britney Spears,,
19,ROUND 1: GUESS THE SOURCE,source_q,,I'M GONNA TAKE MY HORSE TO THE OLD TOWN ROAD,Lil Nas X,,
20,ROUND 1: GUESS THE SOURCE,source_q,,LOOK WHAT YOU MADE ME DO,Taylor Swift,,
21,ROUND 1: GUESS THE SOURCE,bonus_marker,,BONUS: 10 POINTS,,,
22,ROUND 1: GUESS THE SOURCE,source_q,,GOODBYE YELLOW BRICK ROAD,Elton John,,bonus 10pts
23,ROUND 1: GUESS THE SOURCE,score,SWAP SCORECARDS. MARK THEM.,ROUND 1 COMPLETE,,,
24,ROUND 1: GUESS THE SOURCE,crate_drop,,,,,
25,ROUND 2: SCREEN,round_title,GUESS THE LINECONIC: SCREEN,ROUND 2,,,
26,ROUND 2: SCREEN,tier_title,Q1-Q4: 1 POINT | Q5 BONUS: 3 POINTS | Q6-Q9: 1 POINT | Q10 BONUS: 5 POINTS | Q11-Q14: 1 POINT | Q15 BONUS: 10 POINTS,WE SHOW THE ACRONYM. YOU DECODE THE LINE. CINEMA & TV ONLY.,,,
27,ROUND 2: SCREEN,acronym_q,,I.A.K.,I AM KENOUGH,Barbie,
28,ROUND 2: SCREEN,acronym_q,,I.A.Y.F.,I AM YOUR FATHER,Star Wars,
29,ROUND 2: SCREEN,acronym_q,,Y.F.,YOU'RE FIRED!,The Apprentice,
30,ROUND 2: SCREEN,acronym_q,,W.F.,WAKANDA FOREVER,Black Panther,
31,ROUND 2: SCREEN,bonus_marker,,BONUS: 3 POINTS,,,
32,ROUND 2: SCREEN,acronym_q,,W.I.C.,WINTER IS COMING,Game of Thrones,bonus 3pts
33,ROUND 2: SCREEN,acronym_q,,S.H.T.M.L.F.,SAY HELLO TO MY LITTLE FRIEND,Scarface,
34,ROUND 2: SCREEN,acronym_q,,O.M.F.,OHANA MEANS FAMILY,Lilo & Stitch,
35,ROUND 2: SCREEN,acronym_q,,B.J.B.,BOND. JAMES BOND.,007,
36,ROUND 2: SCREEN,acronym_q,,T.Y.S.,TREAT YO SELF,Parks and Recreation,
37,ROUND 2: SCREEN,bonus_marker,,BONUS: 5 POINTS,,,
38,ROUND 2: SCREEN,acronym_q,,T.F.R.O.F.C.I.,THE FIRST RULE OF FIGHT CLUB IS,Fight Club,bonus 5pts
39,ROUND 2: SCREEN,acronym_q,,I.A.G.,I AM GROOT,Guardians of the Galaxy,
40,ROUND 2: SCREEN,acronym_q,,Y.C.H.T.T.,YOU CAN'T HANDLE THE TRUTH!,A Few Good Men,
41,ROUND 2: SCREEN,acronym_q,,T.N.P.L.H.,THERE'S NO PLACE LIKE HOME,The Wizard of Oz,
42,ROUND 2: SCREEN,acronym_q,,W.S.S.,WHY SO SERIOUS,The Dark Knight,
43,ROUND 2: SCREEN,bonus_marker,,BONUS: 10 POINTS,,,
44,ROUND 2: SCREEN,acronym_q,,Y.A.W.H.,YOU'RE A WIZARD HARRY,Harry Potter,bonus 10pts
45,ROUND 2: SCREEN,score,SWAP SCORECARDS. MARK THEM.,ROUND 2 COMPLETE,,,
46,ROUND 2: SCREEN,crate_drop,,,,,
47,FLUENCY CHECK,round_title,WE SHOW THE LINE. YOU SHOUT THE SOURCE. NO WRITING. NO SCORING.,FLUENCY CHECK,,,
48,FLUENCY CHECK,fluency_line,,"ALRIGHT, ALRIGHT, ALRIGHT",,,
49,FLUENCY CHECK,fluency_source,,DAZED AND CONFUSED,,,
50,FLUENCY CHECK,fluency_line,,"IT'S BRITNEY, BITCH",,,
51,FLUENCY CHECK,fluency_source,,BRITNEY SPEARS,,,
52,FLUENCY CHECK,fluency_line,,ON WEDNESDAYS WE WEAR PINK,,,
53,FLUENCY CHECK,fluency_source,,MEAN GIRLS,,,
54,FLUENCY CHECK,fluency_line,,HOT PRIEST,,,
55,FLUENCY CHECK,fluency_source,,FLEABAG,,,
56,FLUENCY CHECK,fluency_line,,"RUN, FORREST, RUN!",,,
57,FLUENCY CHECK,fluency_source,,FORREST GUMP,,,
58,FLUENCY CHECK,fluency_line,,YOU ONLY LIVE ONCE,,,
59,FLUENCY CHECK,fluency_source,,DRAKE,,,
60,FLUENCY CHECK,fluency_line,,HAVE YOU EVER HAD A CASE OF THE MONDAYS,,,
61,FLUENCY CHECK,fluency_source,,OFFICE SPACE,,,
62,FLUENCY CHECK,fluency_line,,"HOUSTON, WE HAVE A PROBLEM",,,
63,FLUENCY CHECK,fluency_source,,APOLLO 13,,,
64,FLUENCY CHECK,fluency_line,,HI I'M JUST BEACH,,,
65,FLUENCY CHECK,fluency_source,,BARBIE,,,
66,FLUENCY CHECK,fluency_line,,I'LL BE BACK,,,
67,FLUENCY CHECK,fluency_source,,THE TERMINATOR,,,
68,FLUENCY CHECK,transition_beat,,,,,
69,INTERMISSION,intermission,10 MINUTES. GET A DRINK.,INTERMISSION.,,,
70,INTERMISSION,warning,,60 SECONDS.,,,
71,INTERMISSION,blackout,,,,,
72,DEAD OR ALIVE,round_title,CULTURALLY RELEVANT OR CULTURALLY EXPIRED. YOU DECIDE.,DEAD OR ALIVE,,,
73,DEAD OR ALIVE,doa_ref,,SKINNY JEANS,,,
74,DEAD OR ALIVE,doa_vote,,SKINNY JEANS,,,
75,DEAD OR ALIVE,doa_verdict_dead,,DEAD,,,
76,DEAD OR ALIVE,doa_ref,,ROM COMS,,,
77,DEAD OR ALIVE,doa_vote,,ROM COMS,,,
78,DEAD OR ALIVE,doa_verdict_alive,,ALIVE,,,
79,DEAD OR ALIVE,doa_ref,,LAUGH TRACKS,,,
80,DEAD OR ALIVE,doa_vote,,LAUGH TRACKS,,,
81,DEAD OR ALIVE,doa_verdict_dead,,DEAD,,,
82,DEAD OR ALIVE,doa_ref,,NEPO BABIES,,,
83,DEAD OR ALIVE,doa_vote,,NEPO BABIES,,,
84,DEAD OR ALIVE,doa_verdict_alive,,ALIVE,,,
85,DEAD OR ALIVE,doa_ref,,MARVEL PHASE 5,,,
86,DEAD OR ALIVE,doa_vote,,MARVEL PHASE 5,,,
87,DEAD OR ALIVE,doa_verdict_dead,,DEAD,,,
88,DEAD OR ALIVE,doa_ref,,REALITY TV,,,
89,DEAD OR ALIVE,doa_vote,,REALITY TV,,,
90,DEAD OR ALIVE,doa_verdict_alive,,ALIVE,,,
91,DEAD OR ALIVE,doa_ref,,METHOD ACTING,,,
92,DEAD OR ALIVE,doa_vote,,METHOD ACTING,,,
93,DEAD OR ALIVE,doa_verdict_dead,,DEAD,,,
94,DEAD OR ALIVE,doa_ref,,THE OFFICE REBOOT,,,
95,DEAD OR ALIVE,doa_vote,,THE OFFICE REBOOT,,,
96,DEAD OR ALIVE,doa_verdict_dead,,DEAD,,,
97,DEAD OR ALIVE,doa_ref,,A24,,,
98,DEAD OR ALIVE,doa_vote,,A24,,,
99,DEAD OR ALIVE,doa_verdict_alive,,ALIVE,,,
100,DEAD OR ALIVE,doa_ref,,MOVIE THEATRES,,,
101,DEAD OR ALIVE,doa_vote,,MOVIE THEATRES,,,
102,DEAD OR ALIVE,doa_verdict_alive,,ALIVE,,,
103,DEAD OR ALIVE,transition_beat,,,,,
104,ROUND 3: LYRICS,round_title,GUESS THE LINECONIC: LYRICS,ROUND 3,,,
105,ROUND 3: LYRICS,tier_title,Q1-Q4: 1 POINT | Q5 BONUS: 3 POINTS | Q6-Q9: 1 POINT | Q10 BONUS: 5 POINTS | Q11-Q14: 1 POINT | Q15 BONUS: 10 POINTS,WE SHOW THE ACRONYM. YOU DECODE THE LINE. MUSIC ONLY.,,,
106,ROUND 3: LYRICS,acronym_q,,W.T.R.S.S.P.S.U.,WILL THE REAL SLIM SHADY PLEASE STAND UP,Eminem,
107,ROUND 3: LYRICS,acronym_q,,T.M.W.Y.W.,TELL ME WHAT YOU WANT,Spice Girls,
108,ROUND 3: LYRICS,acronym_q,,L.O.A.P.,LIVIN ON A PRAYER,Bon Jovi,
109,ROUND 3: LYRICS,acronym_q,,I.G.M.D.L.,I GOT MY DRIVER'S LICENSE,Olivia Rodrigo,
110,ROUND 3: LYRICS,bonus_marker,,BONUS: 3 POINTS,,,
111,ROUND 3: LYRICS,acronym_q,,S.U.B.G.,SINCE U BEEN GONE,Kelly Clarkson,bonus 3pts
112,ROUND 3: LYRICS,acronym_q,,U.C.T.T.,U CAN'T TOUCH THIS,MC Hammer,
113,ROUND 3: LYRICS,acronym_q,,I.W.S.,I WILL SURVIVE,Gloria Gaynor,
114,ROUND 3: LYRICS,acronym_q,,I.I.B.,ICE ICE BABY,Vanilla Ice,
115,ROUND 3: LYRICS,acronym_q,,U.M.U.,UNDER MY UMBRELLA,Rihanna,
116,ROUND 3: LYRICS,bonus_marker,,BONUS: 5 POINTS,,,
117,ROUND 3: LYRICS,acronym_q,,S.T.I.U.T.K.,SOMEBODY THAT I USED TO KNOW,Gotye,bonus 5pts
118,ROUND 3: LYRICS,acronym_q,,I.W.I.T.W.,I WANT IT THAT WAY,Backstreet Boys,
119,ROUND 3: LYRICS,acronym_q,,N.S.,NO SCRUBS,TLC,
120,ROUND 3: LYRICS,acronym_q,,G.J.W.I.,GETTING JIGGY WITH IT,Will Smith,
121,ROUND 3: LYRICS,acronym_q,,M.H.W.G.O.,MY HEART WILL GO ON,Celine Dion,
122,ROUND 3: LYRICS,bonus_marker,,BONUS: 10 POINTS,,,
123,ROUND 3: LYRICS,acronym_q,,I.M.H.I.T.P.I.M.,IT'S ME HI I'M THE PROBLEM IT'S ME,Taylor Swift,bonus 10pts
124,ROUND 3: LYRICS,score,SWAP SCORECARDS. MARK THEM.,ROUND 3 COMPLETE,,,
125,ROUND 3: LYRICS,crate_drop,,,,,
126,ROUND 4: MIXED,round_title,GUESS THE LINECONIC: EVERYTHING,ROUND 4,,,
127,ROUND 4: MIXED,tier_title,Q1-Q4: 1 POINT | Q5 BONUS: 3 POINTS | Q6-Q9: 1 POINT | Q10 BONUS: 5 POINTS | Q11-Q14: 1 POINT | Q15 BONUS: 10 POINTS,SCREEN + LYRICS. NO RESTRICTIONS. HARDEST REFERENCES.,,,
128,ROUND 4: MIXED,acronym_q,,S.M.N.,SAY MY NAME,Destiny's Child,
129,ROUND 4: MIXED,acronym_q,,I.A.T.D.,I AM THE DANGER,Breaking Bad,
130,ROUND 4: MIXED,acronym_q,,Y.G.N.A.B.B.,YOU'RE GONNA NEED A BIGGER BOAT,Jaws,
131,ROUND 4: MIXED,acronym_q,,Y.C.S.W.U.,YOU CAN'T SIT WITH US,Mean Girls,
132,ROUND 4: MIXED,bonus_marker,,BONUS: 3 POINTS,,,
133,ROUND 4: MIXED,acronym_q,,O.A.L.O.,OGRES ARE LIKE ONIONS,Shrek,bonus 3pts
134,ROUND 4: MIXED,acronym_q,,W.G.P.C.G.R.,WITH GREAT POWER COMES GREAT RESPONSIBILITY,Spider-Man,
135,ROUND 4: MIXED,acronym_q,,T.W.S.S.,THAT'S WHAT SHE SAID,The Office,
136,ROUND 4: MIXED,acronym_q,,L.I.G.,LET IT GO,Frozen,
137,ROUND 4: MIXED,acronym_q,,W.A.T.,WHAT ARE THOSE,Vine,
138,ROUND 4: MIXED,bonus_marker,,BONUS: 5 POINTS,,,
139,ROUND 4: MIXED,acronym_q,,Y.S.N.P.,YOU SHALL NOT PASS,The Lord of the Rings,bonus 5pts
140,ROUND 4: MIXED,acronym_q,,I.V.A.T.,I VOLUNTEER AS TRIBUTE,Hunger Games,
141,ROUND 4: MIXED,acronym_q,,H.Y.D.,HOW YOU DOIN',Friends,
142,ROUND 4: MIXED,acronym_q,,N.G.G.Y.U.,NEVER GONNA GIVE YOU UP,Rick Astley,
143,ROUND 4: MIXED,acronym_q,,W.D.T.F.S.,WHAT DOES THE FOX SAY,Ylvis,
144,ROUND 4: MIXED,bonus_marker,,BONUS: 10 POINTS,,,
145,ROUND 4: MIXED,acronym_q,,S.M.T.M.,SHOW ME THE MONEY,Jerry Maguire,bonus 10pts
146,ROUND 4: MIXED,score,SWAP SCORECARDS. MARK THEM.,ROUND 4 COMPLETE,,,
147,THE VERDICT,verdict,,THE VERDICT.,,,
148,THE VERDICT,sentence,LOSING TABLE. IN UNISON.|'YOU CAN'T SIT WITH US': MEAN GIRLS.,THE SENTENCE.,,,
149,THE VERDICT,receipt_rain,,MAKE IT RAIN.,,,
150,THE VERDICT,last_line,,NOBODY PUTS BABY IN A CORNER.,,,
151,THE VERDICT,endcard,STOP BEING UNCULTURED.,L,,,
152,BONUS: HOT SEAT,round_title,THE HOT SEAT,BONUS ROUND,,,
153,BONUS: HOT SEAT,hotseat_rules,BACK TO SCREEN. YOUR HALF SCREAMS CLUES.|OTHER HALF STAYS QUIET.|30 SECONDS PER PROMPT.,ROOM SPLITS. WINNING TABLE SENDS A CHAMPION.,,,
154,BONUS: HOT SEAT,hotseat_prompt,,BABY SHARK,,Pinkfong,
155,BONUS: HOT SEAT,hotseat_prompt,,SMELLS LIKE TEEN SPIRIT,,Nirvana,
156,BONUS: HOT SEAT,hotseat_prompt,,NOT TODAY SATAN,,RuPaul's Drag Race,
157,BONUS: HOT SEAT,hotseat_prompt,,YOU CAN'T SIT WITH US,,Mean Girls,
158,BONUS: HOT SEAT,hotseat_prompt,,LIFE IS LIKE A BOX OF CHOCOLATES,,Forrest Gump,
159,BONUS: HOT SEAT,hotseat_prompt,,JUST KEEP SWIMMING,,Finding Nemo,
160,BONUS: HOT SEAT,score,,HOT SEAT COMPLETE.,,,
161,BONUS: HOT SEAT,endcard,YOU'VE BEEN LINECONIC.,L,,,
